species,country,region,company,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Ethiopia,guji-hambela,metad agricultural developmet plc,2014,8.67,8.75,10,10,10,8.42,8.5,8.75,8.67,8.83,90.58
Arabica,Ethiopia,guji-hambela,metad agricultural developmet plc,2014,8.75,8.58,10,10,10,8.42,8.42,8.58,8.5,8.67,89.92
Arabica,Ethiopia,oromia,yidnekachew debessa coffee plantation,2014,8.17,8.67,10,10,10,8.25,8.5,8.42,8.42,8.58,89
Arabica,Ethiopia,guji-hambela,metad agricultural developmet plc,2014,8.25,8.58,10,10,10,8.33,8.42,8.5,8.25,8.5,88.83
Arabica,Brazil,,,2013,8.58,8.33,10,10,10,8.33,8.25,8.5,8.42,8.42,88.83
Arabica,Peru,,richmond investment-coffee department,2012,8.42,8.5,10,10,10,8.25,8.25,8.5,8.33,8.5,88.75
Arabica,Ethiopia,oromiya,,2010,8.67,8.67,9.33,10,9.33,8.42,8.33,8.42,8.58,8.67,88.42
Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",diamond enterprise plc,2014,8.08,8.5,10,10,10,8.42,7.67,8.5,8.5,8.58,88.25
Arabica,Ethiopia,oromia,fahem coffee plantation,2014,8.17,8.58,10,10,10,8.17,7.75,8.5,8.25,8.67,88.08
Arabica,United States,antioquia,coffee quality institute,2014,8.25,8.5,10,10,10,8.17,8.08,8.33,8.17,8.42,87.92
Arabica,United States,antioquia,coffee quality institute,2014,8.08,8.33,10,10,10,8.08,8,8.42,8.33,8.67,87.92
Arabica,United States (Hawaii),kona,,2010,8.33,8.58,10,10,10,8,8.25,8.25,8.08,8.42,87.92
Arabica,Ethiopia,oromiya,,2010,8.25,8.5,9.33,10,9.33,8.75,8.58,8.25,8.5,8.33,87.83
Arabica,United States,antioquia,coffee quality institute,2014,8,8.17,10,10,10,8,8.17,8.17,8.58,8.5,87.58
Arabica,Ethiopia,yirgacheffe,,2010,8.17,8.83,9.33,10,9.33,8.33,8.42,8.33,8.25,8.33,87.33
Arabica,China,yunnan,yunnan coffee exchange,2015,8.42,8.42,10,10,10,8,7.92,8.17,8.08,8.25,87.25
Arabica,Ethiopia,gedio,essence coffee,2014,8.17,8.33,10,10,10,8.33,8.08,8.17,8,8.17,87.25
Arabica,United States,antioquia,coffee quality institute,2014,8,8.17,10,10,10,8,8.25,8.5,8.08,8.25,87.25
Arabica,Costa Rica,san ramon,the coffee source inc.,2014,8.08,8.33,10,10,10,8.33,8,8.17,8,8.25,87.17
Arabica,Mexico,xalapa,,2012,8.17,8.58,10,10,10,8.17,7.83,8,8.17,8.25,87.17
Arabica,United States,antioquia,coffee quality institute,2014,8.25,8.17,10,10,10,8.17,7.83,8.17,8.17,8.33,87.08
Arabica,Ethiopia,sidamo,,2013,8.42,8.08,10,10,10,8,8.33,8.17,7.92,8.17,87.08
Arabica,Brazil,south of minas,nucoffee,2011,8.5,7.92,10,10,10,8,8,8,8,8.5,86.92
Arabica,Ethiopia,sidamo,,2010,7.83,8.25,10,10,10,8.17,8.17,8.17,8.08,8.25,86.92
Arabica,Uganda,kapchorwa eastern,kabum trading company,2013,8.42,8.17,10,10,10,7.92,7.83,8.17,8.17,8.17,86.83
Arabica,Honduras,comayagua,cigrah s.a de c.v,2016,8.17,8.25,10,10,10,8,8.08,8,8.08,8.08,86.67
Arabica,Taiwan,"leye, alishan township, chiayi county",taiwan coffee laboratory,2015,8,8.17,10,10,10,8.17,8,8.25,8,8,86.58
Arabica,Tanzania,,,2012,8.42,8.17,10,10,10,8,7.58,8,8.17,8.17,86.5
Arabica,Brazil,vale da grama,nucoffee,2011,8.5,8,10,10,10,8,8,7.75,8,8.17,86.42
Arabica,Costa Rica,west and central valley,exclusive coffees s.a.,2016,8.17,8.42,10,10,10,8,7.83,8.08,8,7.83,86.33
Arabica,Ethiopia,oromia,haider abamecha coffee export,2014,8,8.08,10,10,10,8.08,8.08,8,7.92,8.08,86.25
Arabica,Kenya,muranga,c dorman ltd,2013,8.08,8.08,10,10,10,7.92,7.92,8.25,8,8,86.25
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,8.08,8.33,10,10,10,7.83,7.92,7.92,8,8.17,86.25
