species,country,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Ethiopia,2014,8.67,8.75,10.0,10.0,10.0,8.42,8.5,8.75,8.67,8.83,90.58
Arabica,Ethiopia,2014,8.75,8.58,10.0,10.0,10.0,8.42,8.42,8.58,8.5,8.67,89.92
Arabica,Ethiopia,2014,8.17,8.67,10.0,10.0,10.0,8.25,8.5,8.42,8.42,8.58,89.0
Arabica,Ethiopia,2014,8.25,8.58,10.0,10.0,10.0,8.33,8.42,8.5,8.25,8.5,88.83
Arabica,Brazil,2013,8.58,8.33,10.0,10.0,10.0,8.33,8.25,8.5,8.42,8.42,88.83
Arabica,Peru,2012,8.42,8.5,10.0,10.0,10.0,8.25,8.25,8.5,8.33,8.5,88.75
Arabica,Ethiopia,2010,8.67,8.67,9.33,10.0,9.33,8.42,8.33,8.42,8.58,8.67,88.42
Arabica,Ethiopia,2014,8.08,8.5,10.0,10.0,10.0,8.42,7.67,8.5,8.5,8.58,88.25
Arabica,Ethiopia,2014,8.17,8.58,10.0,10.0,10.0,8.17,7.75,8.5,8.25,8.67,88.08
Arabica,United States,2014,8.25,8.5,10.0,10.0,10.0,8.17,8.08,8.33,8.17,8.42,87.92
Arabica,United States,2014,8.08,8.33,10.0,10.0,10.0,8.08,8.0,8.42,8.33,8.67,87.92
Arabica,United States (Hawaii),2010,8.33,8.58,10.0,10.0,10.0,8.0,8.25,8.25,8.08,8.42,87.92
Arabica,Ethiopia,2010,8.25,8.5,9.33,10.0,9.33,8.75,8.58,8.25,8.5,8.33,87.83
Arabica,United States,2014,8.0,8.17,10.0,10.0,10.0,8.0,8.17,8.17,8.58,8.5,87.58
Arabica,Ethiopia,2010,8.17,8.83,9.33,10.0,9.33,8.33,8.42,8.33,8.25,8.33,87.33
Arabica,China,2015,8.42,8.42,10.0,10.0,10.0,8.0,7.92,8.17,8.08,8.25,87.25
Arabica,Ethiopia,2014,8.17,8.33,10.0,10.0,10.0,8.33,8.08,8.17,8.0,8.17,87.25
Arabica,United States,2014,8.0,8.17,10.0,10.0,10.0,8.0,8.25,8.5,8.08,8.25,87.25
Arabica,Costa Rica,2014,8.08,8.33,10.0,10.0,10.0,8.33,8.0,8.17,8.0,8.25,87.17
Arabica,Mexico,2012,8.17,8.58,10.0,10.0,10.0,8.17,7.83,8.0,8.17,8.25,87.17
Arabica,United States,2014,8.25,8.17,10.0,10.0,10.0,8.17,7.83,8.17,8.17,8.33,87.08
Arabica,Ethiopia,2013,8.42,8.08,10.0,10.0,10.0,8.0,8.33,8.17,7.92,8.17,87.08
Arabica,Brazil,2011,8.5,7.92,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.5,86.92
Arabica,Ethiopia,2010,7.83,8.25,10.0,10.0,10.0,8.17,8.17,8.17,8.08,8.25,86.92
Arabica,Uganda,2013,8.42,8.17,10.0,10.0,10.0,7.92,7.83,8.17,8.17,8.17,86.83
Arabica,Honduras,2016,8.17,8.25,10.0,10.0,10.0,8.0,8.08,8.0,8.08,8.08,86.67
Arabica,Taiwan,2015,8.0,8.17,10.0,10.0,10.0,8.17,8.0,8.25,8.0,8.0,86.58
